"filename", "language", "Markdown", "C++", "YAML", "JSON", "Dart", "Swift", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\kaio\lib\widgets\CookCard.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 2, 23
"c:\kaio\lib\widgets\CultureCard.dart", "Dart", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 14, 21, 134
"c:\kaio\lib\widgets\Recipe.dart", "Dart", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 165, 21, 247
"c:\kaio\lib\widgets\ReviewCard.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 3, 24
"c:\kaio\lib\widgets\craft.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 6, 38
"c:\kaio\lib\widgets\destinationFeature.dart", "Dart", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 2, 5, 50
"c:\kaio\lib\widgets\selection.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 4, 22
"c:\kaio\lib\widgets\travel_new.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 5, 61
"c:\kaio\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\kaio\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\kaio\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\kaio\linux\my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\kaio\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\kaio\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 4, 13
"c:\kaio\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\kaio\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\kaio\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\kaio\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\kaio\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\kaio\pubspec.yaml", "YAML", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 57, 15, 145
"c:\kaio\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"c:\kaio\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\kaio\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\kaio\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\kaio\windows\runner\flutter_window.cpp", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\kaio\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\kaio\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\kaio\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\kaio\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\kaio\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\kaio\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\kaio\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 13, 537, 76, 248, 5148, 52, 38, 463, 8, 90, 1057, 648, 8378
